Abstract_ID,Entities
27,"['Primary Malignant Liver Neoplasm', 'Liver carcinoma', 'intrahepatic', 'Cancer-Related Death', 'United States', 'Hispanic or Latino', 'Nation', 'Ultrasonography', 'Censuses', 'Hispanics', 'Patients', 'Incidence Rate', 'Liver and Intrahepatic Biliary Tract Carcinoma', 'Hispanic or Latino', 'Caucasian', 'Hispanic or Latino', 'Black Populations', 'Vision Disparity', 'Cancer Research', 'Analyzer, device', 'Potential', 'Representation Component', 'Hispanics', 'Persons', 'Liver and Intrahepatic Biliary Tract Carcinoma', 'Databases', 'Databases', 'Liver', 'United States', 'search - EntityNameUse', 'Malignant Neoplasms', 'Databases, Genetic', 'Analysis', 'Ethnicity', 'Categories', 'Patients', 'Patients', 'Specimen', 'Persons', 'Hispanic or Latino', 'Race:Type:Point in time:^Patient:Nominal', 'Hispanic or Latino', 'Caucasian', 'Asian Americans', 'Hispanic or Latino', 'Black Populations', 'Native (qualifier value)', 'Americas Ethnicity', 'Native (qualifier value)', 'Pacific Islander Americans', 'Hawaiian language', 'findings aspects', 'Vision Disparity', 'Ethnic Groups', 'Hispanics', 'geographic population', 'Hispanic or Latino', 'year', 'Addresses (publication format)', 'health disparity', 'Worsening pattern', 'Enhance (action)', 'Inclusion', 'research']"
28,"['Social Determinants of Health', 'Transplantation of liver', 'Tumor Necrosis Factor-Beta', 'Evaluation', 'Mental association', 'Structure', 'Social Determinants of Health', 'Health', 'Persons', 'Psychosocial Factors', 'Measured', 'Integrated', 'Psychosocial assessment (procedure)', 'Score', 'Failure (biologic function)', 'Waiting Lists (patient)', 'Retrospective Cohort Study', 'Patients', 'Tumor Necrosis Factor-Beta', 'Injury due to exposure to external cause', 'Social Deprivation Index', 'Proportion', 'Households', 'Cash', 'public entity', 'Helping Behavior', 'Supplement', 'Helping Behavior', 'public entity', 'Score', 'Quartile', 'Curie', 'public entity', 'Helping Behavior', 'Quartile', 'Curie', 'Increased', 'Odds Ratio', 'Tumor Necrosis Factor-Beta', 'Mental association', 'Psychosocial assessment (procedure)', 'Score', 'Psychosocial assessment (procedure)', 'Highest', 'Quartile', 'Neighborhood', 'selective dissemination of information', 'Curie', 'Quartile', 'public entity', 'Helping Behavior', 'Curie', 'Increased', 'Failure', 'Waiting Lists (patient)', 'Psychosocial', 'Indication of (contextual qualifier)', 'Mental association', 'Quartile', 'Measures', 'Transplantation', 'Persons', 'Psychosocial care (regime/therapy)', 'Impact food supplement', 'structural barriers']"
29,"['Estimated', 'Cerebrovascular accident', 'Burden', 'Risk', 'Generalized', 'Resource Allocation', 'Estimated', 'Menstruation']"
30,"['Orthotopic liver transplant', 'Patients', 'Limited stage (cancer stage)', 'Liver carcinoma', 'Simultaneous', 'Liver Cirrhosis', 'Waiting Lists (patient)', 'Candida (fungus)', 'Affecting', 'Social Determinants of Health', 'Races (activity)', 'Ethnicity', 'Clinical Research', 'Evaluation', 'Orthotopic liver transplant', 'Patients', 'Liver carcinoma']"
31,"['Genus: Coronavirus', 'Disease', 'COVID19 (disease)', 'Pandemics', 'Psychologic', 'Complication', 'Pandemics', 'Biomechanical compliance', 'Protocols documentation', 'standards characteristics', 'research', 'Psychologic', 'COVID19 (disease)', 'Prophylactic behavior', 'Elderly (population group)', 'Clinical Research', 'Variable (uniformity)', 'Relationships', 'Associated with', 'Colicin Plasmids']"
32,"['propolis', 'Natural', 'Bees', 'Potential', 'Effect', 'Liver', 'Enzymes', 'Obesity', 'Meta Analysis (statistical procedure)', 'Impact food supplement', 'propolis', 'Obesity', 'Liver function']"
33,"['High', 'Statistical Prevalence', 'Inappropriate', 'Antibiotics', 'Sector', 'Community', 'Influence', 'Social Environment', 'Influence', 'Social Determinants of Health', 'Health', 'Affecting', 'Persons', 'Health behavior', 'Antibiotics', 'utilization qualifier', 'Health behavior', 'Persons', 'Health Literacy']"
34,['Variation (Genetics)']
35,"['Social Determinants of Health', 'gastrointestinal', 'Malignant neoplasm of gastrointestinal tract', 'Mortality Vital Statistics', 'Persons', 'Ultrasonography', 'Effect', 'Mortality Vital Statistics', 'Assessed', 'Mental association', 'County', 'Social vulnerability', 'Malignant neoplasm of gastrointestinal tract']"
36,"['Alcohol consumption', 'Transplantation of liver', 'Tumor Necrosis Factor-Beta', 'High', 'graft loss', 'Increased', 'Mortality Vital Statistics', 'Data', 'evaluation/testing', 'Predictor', 'Alcohol consumption', 'Biochemical Marker', 'phosphatidylethanol']"
37,"['Clinical Research', 'COVID19 (disease)', 'Vaccines', 'Effectiveness', 'Hospitals', 'Hospital admission', 'Severe (severity modifier)', 'COVID19 (disease)']"
38,"['Nutrients', 'Metabolism', 'Colicin Plasmids', 'Social Determinants of Health', 'Science of genetics', 'Regulators (device)', 'Metabolism', 'Healthy', 'Life Style', 'Mediator brand of benfluorex hydrochloride', 'Acclimatization', 'Cell physiology', 'Fatty Liver', 'Providing presence (regime/therapy)', 'Hepatocyte', 'Hepatocyte', 'Storage', 'Triglycerides', 'Lipids', 'Lipid droplet', 'Fatty Liver', 'Protoplasm', 'Mental Processes', 'Healthy', 'Nutrients', 'Metabolism', 'Range', 'Supermarkets', 'Several', 'Hormones', 'Peptides', 'Genes', 'Participation', 'Nutrients', 'Enzymes', 'Participation', 'Nutrients', 'Metabolism', 'Ingestion', 'Generations', 'adenosine triphosphate', 'Publications', 'Regulation', 'Nutrients', 'Metabolism', 'Regulatory Factor X1', 'Bidirectional', 'Regulators (device)', 'Nutrients', 'Metabolism', 'Fasting', 'Insulin', 'Exertion', 'Effect', 'Enzymes', 'Cell physiology', 'Metabolic', 'Inflammation', 'cell wall repair', 'End-stage', 'Regulators (device)', 'Visual Suppression', 'Receptors, Nuclear', 'NR1H4 gene', 'peroxisome', 'Receptors, Adiponectin', 'leptin', 'adiponutrin', 'Effect', 'Modulator Device', 'Incretins', 'Bile Acids', 'Intermediate', 'Players', 'Pathogenesis', 'Metabolic', 'Liver diseases', 'Disease Progression', 'Risk', 'Stratification', 'Pharmacotherapy', 'Persons', 'Patients', 'Personalized', 'Precision - characteristic', 'PubMed', 'Publications', 'Metabolism', 'Carbohydrates', 'Adipose tissue', 'Geographic state', 'health and disease', 'Cardiovascular Diseases', 'Publications', 'Peer Review, Research', 'Paper', 'Review [Publication Type]']"
39,"['Metabolic', 'Liver diseases', 'Administration occupational activities', 'Guidelines', 'Publishing', 'categorizing', 'Comparison', 'Life Style', 'Interventional procedure', 'Recommendation']"
40,"['year', 'Therapeutic procedure', 'Randomized Controlled Trials as Topic', 'Raspberries', 'Consumption of goods', 'Liver function', 'Laboratory Procedures', 'Review [Publication Type]', 'Investigates', 'Effectiveness', 'Meta Analysis (statistical procedure)']"
41,"['Publications', 'Particle', 'Manuscripts', 'Graft acceptance', 'Accepted', 'Manuscripts', 'Author', 'Style']"
42,"['polyphenols', 'Natural', 'Micronutrients', 'Plants', 'Anti-Inflammatory Agents', 'Antioxidants', 'Generalized', 'Non-alcoholic Fatty Liver Disease', 'Non-alcoholic Fatty Liver Disease', 'chronic', 'Progressive', 'Intestinal Microbiome', 'Congenital glucose-galactose malabsorption', 'Disease Progression', 'Non-alcoholic Fatty Liver Disease', 'Clinical action', 'Metabolite', 'Bile Acids', 'Lipopolysaccharides', 'Lipopolysaccharides', 'choline', 'Fatty Acids, Volatile', 'Additional', 'Influence', 'Intact', 'Intestines', 'Review [Publication Type]', 'Evaluation', 'Potential', 'polyphenols', 'Congenital glucose-galactose malabsorption', 'Intestines', 'physiological aspects', 'Impact food supplement', 'Non-alcoholic Fatty Liver Disease', 'Search - action', 'PubMed', 'Scopus', 'Systematic Review', 'Literature', 'Function (attribute)', 'Composition', 'chlorogenic acid', 'epigallocatechin gallate', 'naringenin', 'Composition', 'Improved', 'Non-alcoholic Fatty Liver Disease', 'Inflammation', 'Liver', 'Adipose tissue', 'Accumulation', 'Finding of liver enzyme levels', 'BARRIER', 'Intact', 'Component object', 'Non-alcoholic Fatty Liver Disease', 'Metabolite', 'Congenital glucose-galactose malabsorption', 'choline', 'Lipopolysaccharides', 'Evidence', 'curcumin', 'Modulated', 'Congenital glucose-galactose malabsorption', 'Improving (qualifier value)', 'Intestines', 'Intact', 'Positive', 'Non-alcoholic Fatty Liver Disease', 'Scientific Study', 'Evaluation', 'Safety', 'Effectiveness', 'naringenin', 'sulforafan', 'catechin']"
43,"['Emergency Situation', 'remdesivir', 'COVID19 (disease)', 'Country', 'aspects of adverse effects', 'Nausea', 'Worsening pattern', 'Respiratory Failure', 'Increased', 'Alanine Transaminase', 'Incidence', 'High', 'Finding of liver enzyme levels', 'Patients', 'COVID19 (disease)', 'remdesivir']"
44,"['Variable (uniformity)', 'Primary', 'Malignant neoplasm of liver', 'United States', 'Colicin Plasmids', 'Social Determinants of Health', 'Educational Status', 'regional', 'Variant', 'Outcome Measures', 'Clinical Research', 'Analysis', 'Cell cluster', 'High', 'Mortality Vital Statistics', 'Malignant neoplasm of liver', 'Mental association', 'Factor', 'Mortality Vital Statistics', 'Contiguous', 'United States']"
45,"['Early', 'Detection', 'Liver carcinoma', 'altretamine/cisplatin/cyclophosphamide protocol', 'Improved', 'Continuance of life', 'Proportion', 'Patients', 'Treating', 'Safety-net Hospitals', 'Terminal illness', 'Academic Medical Centers', 'Clinical Research', 'Diagnosis', 'altretamine/cisplatin/cyclophosphamide protocol']"
46,"['High Prevalence', 'Non-alcoholic Fatty Liver Disease', 'Complication', 'Comparison', 'silymarin', 'Non-alcoholic Fatty Liver Disease', 'Rattus norvegicus']"
47,"['Diabetes with coma (disorder)', 'Metabolic Diseases', 'Characterization', 'Hyperglycemia', 'Complication', 'Reduced', 'Quality', 'Life', 'Increase', 'Mortality Vital Statistics', 'Diabetes', 'physiopathological', 'physiopathological', 'Structure of beta Cell of islet', 'Adipose tissue', 'Skeletal muscle structure', 'Liver', 'Diabetes Mellitus, Insulin-Dependent', 'Diabetes Mellitus, Insulin-Dependent', 'Test Result', 'Destructive procedure (surgical)', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Characterization', 'Degree or extent', 'Impaired T cell function', 'Insulin Resistance', 'Mental association', 'Obesity', 'Diabetes Mellitus, Non-Insulin-Dependent', 'Biochemical Pathway', 'CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS', 'Eating', 'Energy Metabolism', 'Input', 'Peripheral', 'Organ', 'Environment', 'Risk', 'Complications of Diabetes Mellitus', 'Social Interaction', 'Genetic Predisposition to Disease', 'Exogenous Factors', 'Availability of', 'Nutritious food', 'Social', 'Factor', 'physiopathological', 'therapeutic aspects', 'Diabetes', 'Complication', 'Course', 'Disease']"
48,"['Asian Americans', 'Pacific Islander Americans', 'Increased', 'Risk', 'Liver and Intrahepatic Biliary Tract Carcinoma', 'High', 'Cessation of life', 'Hispanic or Latino', 'Caucasian', 'Persons', 'Persons', 'risk factors', 'Social Determinants of Health', 'Navigation', 'Health system plans', 'Unique', 'Challenge', 'Liver and Intrahepatic Biliary Tract Carcinoma', 'care activity', 'Patients', 'Asian Americans', 'Pacific Islander Americans', 'geographic population', 'Heterogenous', 'Different', 'Country', 'Speaking (activity)', 'Languages', 'Challenge', 'Asian Americans', 'Pacific Islander Americans', 'Patients', 'Liver and Intrahepatic Biliary Tract Carcinoma', 'Clinician', 'research', 'Patient advocacy', 'cellular targeting', 'Solutions', 'Healthcare Disparities', 'Groups']"
49,"['Clinical Research', 'Assessed', 'Statistical Prevalence', 'Gastroesophageal reflux disease', 'Gastroesophageal reflux disease', 'Iran', 'Gastroesophageal reflux disease', 'Colicin Plasmids', 'Evaluation']"
50,"['Persons', 'Household composition', 'HIV', 'Predisposition -- attribute', 'Metabolic Diseases', 'Metabolic', 'Liver diseases', 'SLC17A5 gene', 'Persons', 'Household composition', 'HIV', 'Clinical Trials', 'Cohort Studies', 'risk factors', 'Natural History', 'SLC17A5 gene', 'geographic population', 'Poverty', 'Relevance', 'Knowledge', 'ras GTPase-Activating Proteins', 'Epidemiology', 'Health Care', 'Hamper', 'Sufficient', 'Response process', 'HIV', 'SLC17A5 gene', 'Syndemic', 'Comprehensive', 'SLC17A5 gene', 'Persons', 'Household composition', 'HIV', 'Social Determinants of Health', 'Fetal Health and Development', 'Liver diseases', 'Metabolic Syndrome X', 'Comorbidity', 'geographic population', 'SLC17A5 gene', 'Administration occupational activities', 'Recommendation', 'research', 'Data', 'Liver', 'Health', 'Persons', 'Household composition', 'HIV']"
51,"['Premature Birth', 'Process', 'week', 'Pregnancy', 'Providing presence (regime/therapy)', 'Microorganism', 'Fetal Membranes', 'Increase', 'production', 'Prostaglandins', 'Colicin Plasmids', 'Associated with', 'Premature Birth', 'Tumor Cell Invasion', 'Microorganism', 'production', 'Stimulation (motivation)', 'Birth', 'Investigates', 'Genital infection', 'Premature Birth']"
52,"['Mental association', 'Red Meat', 'Process', 'Meat', 'Consumption of goods', 'Malignant neoplasm of gastrointestinal tract', 'Indeterminate', 'Evaluation procedure', 'Systematic Review', 'Meta Analysis (statistical procedure)', 'Science']"
53,"['Relationships', 'Climate Change', 'Food Serving Systems', 'Noncommunicable Diseases', 'Africa South of the Sahara', 'anti-Ro (SSA) measurement', 'Concept (Terminology Entity)', 'anti-Ro (SSA) measurement']"
54,"['Evaluation', 'systematic', 'Social Determinants of Health', 'Health', 'Demography', 'Socioeconomic Factors', 'Comparison', 'Groups', 'Inaccurate', 'Clinical Research', 'Evaluation', 'Prediction', 'Mortality Vital Statistics', 'Patients', 'Chronic disease', 'Method of detection', 'Consideration', 'systematic']"
