Abstract,tokenized_abstract
"Open offers (OOs) in liver transplantation (LT) result from bypassing the traditional allocation system. Little is known about the trends of OOs or the differences in donor/recipient characteristics compared to traditionally placed organs. We aim to quantify modern practices regarding OOs and understand NMP's impact, focusing on social determinants of health (SDH), cost, and graft-associated risk.",Open offers OOs liver transplantation LT result bypassing traditional allocation system Little known trends OOs differences donorrecipient characteristics compared traditionally placed organs aim quantify modern practices regarding OOs understand NMPs impact focusing social determinants health SDH cost graftassociated risk
"In this study, the trends and current situation of the injury burden as well as attributable burden to injury risk factors at global, regional, and national levels based on the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2019 are presented.",study trends current situation injury burden well attributable burden injury risk factors global regional national levels based Global Burden Diseases Injuries Risk Factors Study GBD 2019 presented
"Hepatitis C, caused by the hepatitis C virus (HCV), is a prevalent liver disease with severe outcomes, including cirrhosis and hepatocellular carcinoma. Traditional diagnostic methods primarily detect antiviral antibodies (anti-HCV) or viral RNA, but these approaches have limitations. Anti-HCV antibodies may take 2-4 weeks to develop in acute cases and can be absent in some individuals, leading to undiagnosed early-stage infections. This poses significant challenges for public health, particularly in resource-limited settings where early detection is crucial. This article explores the development of biosensors engineered to directly detect HCV surface antigens, such as envelope proteins. These biosensors provide a promising solution for earlier and more accurate diagnosis by identifying viral components at the initial stages of infection. By focusing on direct detection of viral antigens, these innovations could enhance early diagnosis, facilitate timely intervention, and reduce virus transmission. We evaluate the advancements in biosensor technology over the past decade and their potential to improve HCV detection in clinical and field settings, ultimately supporting global efforts to eliminate HCV as a public health threat.",Hepatitis C caused hepatitis C virus HCV prevalent liver disease severe outcomes including cirrhosis hepatocellular carcinoma Traditional diagnostic methods primarily detect antiviral antibodies antiHCV viral RNA approaches limitations AntiHCV antibodies may take 24 weeks develop acute cases absent individuals leading undiagnosed earlystage infections poses significant challenges public health particularly resourcelimited settings early detection crucial article explores development biosensors engineered directly detect HCV surface antigens envelope proteins biosensors provide promising solution earlier accurate diagnosis identifying viral components initial stages infection focusing direct detection viral antigens innovations could enhance early diagnosis facilitate timely intervention reduce virus transmission evaluate advancements biosensor technology past decade potential improve HCV detection clinical field settings ultimately supporting global efforts eliminate HCV public health threat
The purpose of the to determine the prevalence of cataract and study the relationship of smoking and other potential risk factors with visually significant cataract.,purpose determine prevalence cataract study relationship smoking potential risk factors visually significant cataract
"Transplant oncology encompasses and utilizes liver transplantation (LT) in combination with other aspects of cancer care to offer improved long-term outcomes for patients with liver cancer, but not all patients have equal access and ability to undergo LT. Social determinants of health may negatively impact a patient's ability to receive liver-related oncologic care, including LT. This review highlights recent work exposing gaps in access to LT, including transplant oncology, and interventions to ameliorate these disparities.",Transplant oncology encompasses utilizes liver transplantation LT combination aspects cancer care offer improved longterm outcomes patients liver cancer patients equal access ability undergo LT Social determinants health may negatively impact patients ability receive liverrelated oncologic care including LT review highlights recent work exposing gaps access LT including transplant oncology interventions ameliorate disparities
"Cancer remains one of the leading causes of death worldwide. The unclear molecular mechanisms and complex in vivo microenvironment of tumors make it difficult to clarify the nature of cancer and develop effective treatments. Therefore, the development of new methods to effectively treat cancer is urgently needed and of great importance. Organ-on-a-chip (OoC) systems could be the breakthrough technology sought by the pharmaceutical industry to address ever-increasing research and development costs. The past decade has seen significant advances in the spatial modeling of cancer therapeutics related to OoC technology, improving physiological exposition criteria. This article aims to summarize the latest achievements and research results of cancer cell treatment simulated in a 3D microenvironment using OoC technology. To this end, we will first discuss the OoC system in detail and then demonstrate the latest findings of the cancer cell treatment study by Ooc and how this technique can potentially optimize better modeling of the tumor. The prospects of OoC systems in the treatment of cancer cells and their advantages and limitations are also among the other points discussed in this study.",Cancer remains one leading causes death worldwide unclear molecular mechanisms complex vivo microenvironment tumors make difficult clarify nature cancer develop effective treatments Therefore development new methods effectively treat cancer urgently needed great importance Organonachip OoC systems could breakthrough technology sought pharmaceutical industry address everincreasing research development costs past decade seen significant advances spatial modeling cancer therapeutics related OoC technology improving physiological exposition criteria article aims summarize latest achievements research results cancer cell treatment simulated 3D microenvironment using OoC technology end first discuss OoC system detail demonstrate latest findings cancer cell treatment study Ooc technique potentially optimize better modeling tumor prospects OoC systems treatment cancer cells advantages limitations also among points discussed study
The impact of clinical factors and social determinants of health on treatment patterns and health care costs among patients with HCC is unknown.,impact clinical factors social determinants health treatment patterns health care costs among patients HCC unknown
"The hip fracture causes significant disabilities in many elderly people. Many studies around the world have identified various risk factors for the hip fracture. The aim of this study was to systematically investigate the risk factors of hip fractures. This study is a systematic review of risk factors for hip fractures. All published papers in English and Persian languages on patients in Iran and other countries between 2002 - 2022 were examined. The search strategy used keywords matching the mesh, including : predictors, hip fracture, and disability. Articles were selected from international databases (PubMed, Proquest ,Web of Sience, Scopus, Google scholar and Persian(Sid,Magiran), and the Newcastle Ottawa Scale was used to assess the risk of bias. The study has identified several factors that were significantly correlated with the risk of hip fracture, including age, cigarette and alcohol consumption, visual and hearing problems, low BMI levels, history of falling, weakness, and diseases such as stroke, cardiovascular disease, high blood pressure, arthritis, diabetes, dementia, Alzheimer's, Parkinson's, liver and kidney diseases, bone density, osteoporosis, vertebral fracture, and hyperthyroidism. However, the study did not find any significant correlations between the consumption of calcium and vitamin D, history of fractures, cognitive disorders, schizophrenia, and household income, and the risk of hip fracture. The results of this study reveal the determining role of some risk factors in hip fracture in older persons. Therefore, it is recommended that health policy makers provide the possibility of early intervention for some changeable factors.",hip fracture causes significant disabilities many elderly people Many studies around world identified various risk factors hip fracture aim study systematically investigate risk factors hip fractures study systematic review risk factors hip fractures published papers English Persian languages patients Iran countries 2002 2022 examined search strategy used keywords matching mesh including predictors hip fracture disability Articles selected international databases PubMed Proquest Web Sience Scopus Google scholar PersianSidMagiran Newcastle Ottawa Scale used assess risk bias study identified several factors significantly correlated risk hip fracture including age cigarette alcohol consumption visual hearing problems low BMI levels history falling weakness diseases stroke cardiovascular disease high blood pressure arthritis diabetes dementia Alzheimers Parkinsons liver kidney diseases bone density osteoporosis vertebral fracture hyperthyroidism However study find significant correlations consumption calcium vitamin history fractures cognitive disorders schizophrenia household income risk hip fracture results study reveal determining role risk factors hip fracture older persons Therefore recommended health policy makers provide possibility early intervention changeable factors
To evaluate changes in the age at menarche in Asian populations.,evaluate changes age menarche Asian populations
"Smoking is the leading behavioural risk factor for mortality globally, accounting for more than 175 million deaths and nearly 4·30 billion years of life lost (YLLs) from 1990 to 2021. The pace of decline in smoking prevalence has slowed in recent years for many countries, and although strategies have recently been proposed to achieve tobacco-free generations, none have been implemented to date. Assessing what could happen if current trends in smoking prevalence persist, and what could happen if additional smoking prevalence reductions occur, is important for communicating the effect of potential smoking policies.",Smoking leading behavioural risk factor mortality globally accounting 175 million deaths nearly 430 billion years life lost YLLs 1990 2021 pace decline smoking prevalence slowed recent years many countries although strategies recently proposed achieve tobaccofree generations none implemented date Assessing could happen current trends smoking prevalence persist could happen additional smoking prevalence reductions occur important communicating effect potential smoking policies
"Alcohol use disorder (AUD) is a chronic medical condition that affects over 29.5 million people and accounts for $249 billion in social and health care costs annually. Prevalence is higher among young adults, males, sexual and gender minorities, American Indians and Alaska Natives, and the uninsured. Despite its high prevalence and societal impact, AUD is often overlooked in health care settings. This has resulted in insufficient implementation of AUD screening as well as low levels of treatment uptake. Addressing these challenges requires recognition of the current epidemiology of AUD and role of social determinants of health.",Alcohol use disorder AUD chronic medical condition affects 295 million people accounts 249 billion social health care costs annually Prevalence higher among young adults males sexual gender minorities American Indians Alaska Natives uninsured Despite high prevalence societal impact AUD often overlooked health care settings resulted insufficient implementation AUD screening well low levels treatment uptake Addressing challenges requires recognition current epidemiology AUD role social determinants health
To investigate how individual social determinants of health (SDOH) and cumulative social disadvantage (CSD) affect survival and receipt of liver transplant (LT) in patients with hepatocellular carcinoma (HCC).,investigate individual social determinants health SDOH cumulative social disadvantage CSD affect survival receipt liver transplant LT patients hepatocellular carcinoma HCC
"Understanding the association of social determinants of health with liver transplant listing and waitlist outcomes can inform health care policy and interventions aimed at improving access to care. We analyzed the Scientific Registry of Transplant Recipients database merged with the Social Deprivation Index (SDI) to evaluate if the area of residence is associated with the Model for End-Stage Liver Disease incorporating sodium (MELD-Na) at the time of waitlist placement and outcomes following waitlisting, and if this varied based on sociodemographic variables. Compared to candidates residing in areas of low SDI, those residing in areas of high SDI (most socioeconomic disadvantage) had 11% higher adjusted likelihood (aOR [95% CI] = 1.11 [CI 1.05,1.17]) of being listed for transplant with a MELD-Na score ≥30; this was not statistically significant when also adjusted for race/ethnicity (aOR = 1.02 [0.97,1.08]). When stratified by race/ethnicity, residing in an area of high SDI was associated with a MELD-Na score ≥30 at the time of waitlisting among Hispanic White candidates (aOR = 1.24, 95% CI: 1.04, 1.49). Candidates residing in areas of high SDI had an 8% lower chance (adjusted hazard ratio [aHR] = 0.92 [0.88,0.96]) of undergoing a liver transplant, a 6% higher risk of death (aHR = 1.06 [1.002,1.13]), and a 20% higher risk (aHR = 1.20 [1.13,1.28]) of removal on the waitlist independent of race, ethnicity, insurance status, or sex. In the United States, residence in areas of high socioeconomic disadvantage is significantly associated with higher MELD-Na at the time of waitlisting among Hispanic White candidates. In addition, residence in areas of high socioeconomic disadvantage was associated with a higher risk of death or removal from the waitlist and lower chances of receiving a liver transplant after waitlist placement, particularly among Non-Hispanic White candidates and older candidates.",Understanding association social determinants health liver transplant listing waitlist outcomes inform health care policy interventions aimed improving access care analyzed Scientific Registry Transplant Recipients database merged Social Deprivation Index SDI evaluate area residence associated Model EndStage Liver Disease incorporating sodium MELDNa time waitlist placement outcomes following waitlisting varied based sociodemographic variables Compared candidates residing areas low SDI residing areas high SDI socioeconomic disadvantage 11 higher adjusted likelihood aOR 95 CI 111 CI 105117 listed transplant MELDNa score 30 statistically significant also adjusted raceethnicity aOR 102 097108 stratified raceethnicity residing area high SDI associated MELDNa score 30 time waitlisting among Hispanic White candidates aOR 124 95 CI 104 149 Candidates residing areas high SDI 8 lower chance adjusted hazard ratio aHR 092 088096 undergoing liver transplant 6 higher risk death aHR 106 1002113 20 higher risk aHR 120 113128 removal waitlist independent race ethnicity insurance status sex United States residence areas high socioeconomic disadvantage significantly associated higher MELDNa time waitlisting among Hispanic White candidates addition residence areas high socioeconomic disadvantage associated higher risk death removal waitlist lower chances receiving liver transplant waitlist placement particularly among NonHispanic White candidates older candidates
"As the prevalence of inflammatory bowel disease (IBD) increases within historically disadvantaged communities, it is imperative to better understand how intersectionality-defined as the complex, cumulative way in which the effects of multiple forms of discrimination (such as racism, sexism, and classism)-intersects and social determinants of health influence the patient's experiences within the medical system when navigating their disease. Culturally sensitive care is characterized by the ability to deliver patient-centered care that recognizes how the intersectionality of an individual's identities impacts their disease journey. An intentional consideration and sensitivity to this impact play important roles in providing an inclusive and welcoming space for historically disadvantaged individuals living with IBD and will help address health inequity in IBD. Cultural competence implies mastery of care that understands and respects values and beliefs across cultures, while cultural humility involves recognizing the complexity of cultural identity and engaging in an ongoing learning process from individual patient experiences. Heightening our patient care goals from cultural competence to cultural sensitivity allows healthcare professionals and the systems in which they practice to lead with cultural humility as they adopt a more inclusive and humble perspective when caring for patient groups with a diverse array of identities and cultures and to avoid maintaining the status quo of implicit and explicit biases that impede the delivery of quality IBD care. In this article, we review the literature on IBD care in historically disadvantaged communities, address culturally sensitive care, and propose a framework to incorporating cultural humility in IBD practices and research.",prevalence inflammatory bowel disease IBD increases within historically disadvantaged communities imperative better understand intersectionalitydefined complex cumulative way effects multiple forms discrimination racism sexism classismintersects social determinants health influence patients experiences within medical system navigating disease Culturally sensitive care characterized ability deliver patientcentered care recognizes intersectionality individuals identities impacts disease journey intentional consideration sensitivity impact play important roles providing inclusive welcoming space historically disadvantaged individuals living IBD help address health inequity IBD Cultural competence implies mastery care understands respects values beliefs across cultures cultural humility involves recognizing complexity cultural identity engaging ongoing learning process individual patient experiences Heightening patient care goals cultural competence cultural sensitivity allows healthcare professionals systems practice lead cultural humility adopt inclusive humble perspective caring patient groups diverse array identities cultures avoid maintaining status quo implicit explicit biases impede delivery quality IBD care article review literature IBD care historically disadvantaged communities address culturally sensitive care propose framework incorporating cultural humility IBD practices research
"Primary liver cancer, including hepatocellular carcinoma and intrahepatic cholangiocarcinoma was the sixth leading cause of cancer death in the United States in 2023. Hispanic people constitute approximately 19% of the nation's total population according to the US Census. Hispanic patients have the highest relative incidence rates of liver cancer compared to non-Hispanic Whites and non-Hispanic Blacks, a disparity frequently overlooked in cancer research. In this study, our primary objective was to analyze the potential underrepresentation of Hispanic individuals in liver cancer research databases. We identified databases that had liver cancer-specific studies and be population-based in the United States. Our search yielded 7 cancer genomic databases, which were analyzed according to incidence percentages across ethnicity and race categories. Our study included 3104 patients; ethnic data was not reported for 13.1% (n = 406) of the patients. Samples were predominantly from individuals who identified as Not Hispanic (81.0%), Hispanic individuals represented 5.9%. Race was reported as follows: non-Hispanic Whites (61.0%), Asians (22.0%), non-Hispanic Blacks (5.4%), Other (3.1%), Native American/American Indian/Alaska Native (0.4%), Pacific Islander/Native Hawaiian (0.2%) and not reported (7.9%). These findings collectively underscore significant disparities in the representation of ethnic and racial groups, particularly Hispanics. Given the present racial and ethnic demographics of the US population and the projected surge in the Hispanic population in forthcoming years, it becomes imperative to address health disparities that may worsen without efforts to enhance proper inclusion in cancer research.",Primary liver cancer including hepatocellular carcinoma intrahepatic cholangiocarcinoma sixth leading cause cancer death United States 2023 Hispanic people constitute approximately 19 nations total population according US Census Hispanic patients highest relative incidence rates liver cancer compared nonHispanic Whites nonHispanic Blacks disparity frequently overlooked cancer research study primary objective analyze potential underrepresentation Hispanic individuals liver cancer research databases identified databases liver cancerspecific studies populationbased United States search yielded 7 cancer genomic databases analyzed according incidence percentages across ethnicity race categories study included 3104 patients ethnic data reported 131 n 406 patients Samples predominantly individuals identified Hispanic 810 Hispanic individuals represented 59 Race reported follows nonHispanic Whites 610 Asians 220 nonHispanic Blacks 54 31 Native AmericanAmerican IndianAlaska Native 04 Pacific IslanderNative Hawaiian 02 reported 79 findings collectively underscore significant disparities representation ethnic racial groups particularly Hispanics Given present racial ethnic demographics US population projected surge Hispanic population forthcoming years becomes imperative address health disparities may worsen without efforts enhance proper inclusion cancer research
"Social determinants of health, both individual and structural, impact access to liver transplantation (LT). We aimed to evaluate the association between structural social determinants of health (SSDoH) and individual-level psychosocial factors (as measured by the Stanford Integrated Psychosocial Assessment for Transplant, SIPAT score) on failure to waitlist for LT. We conducted a single-center retrospective cohort study of 2762 patients evaluated for LT. SSDoH exposures included the Social Deprivation Index (SDI), the proportion of households on cash public assistance or supplemental nutrition assistance (% public assistance), and distance to the transplant center. Neighborhood SDI score in the highest quartile (OR 1.32, 95 % CI 1.07-1.63) and % on public assistance in the highest quartile (OR 1.41, 95 % CI 1.14-1.75) were associated with increased odds of not being waitlisted for LT. These associations remained significant after adjusting for individual psychosocial risk using SIPAT scores (≥21, high psychosocial risk). Highest quartile neighborhood SDI (OR 1.70, 95 % CI 1.13-2.54) and the highest quartile of % on public assistance (OR 1.67, 95 % CI 1.11-2.53) were also associated with increased odds of failure to waitlist for psychosocial reasons. However, these associations were no longer significant after adjusting for individual SIPAT scores. High-risk SIPAT scores were more prevalent in neighborhoods with the highest quartile of SSDoH measures. Transplant centers can design initiatives to build individual psychosocial support to mitigate the impact of structural barriers.",Social determinants health individual structural impact access liver transplantation LT aimed evaluate association structural social determinants health SSDoH individuallevel psychosocial factors measured Stanford Integrated Psychosocial Assessment Transplant SIPAT score failure waitlist LT conducted singlecenter retrospective cohort study 2762 patients evaluated LT SSDoH exposures included Social Deprivation Index SDI proportion households cash public assistance supplemental nutrition assistance public assistance distance transplant center Neighborhood SDI score highest quartile 132 95 CI 107163 public assistance highest quartile 141 95 CI 114175 associated increased odds waitlisted LT associations remained significant adjusting individual psychosocial risk using SIPAT scores 21 high psychosocial risk Highest quartile neighborhood SDI 170 95 CI 113254 highest quartile public assistance 167 95 CI 111253 also associated increased odds failure waitlist psychosocial reasons However associations longer significant adjusting individual SIPAT scores Highrisk SIPAT scores prevalent neighborhoods highest quartile SSDoH measures Transplant centers design initiatives build individual psychosocial support mitigate impact structural barriers
"Up-to-date estimates of stroke burden and attributable risks and their trends at global, regional, and national levels are essential for evidence-based health care, prevention, and resource allocation planning. We aimed to provide such estimates for the period 1990-2021.",Uptodate estimates stroke burden attributable risks trends global regional national levels essential evidencebased health care prevention resource allocation planning aimed provide estimates period 19902021
Orthotopic liver transplantation is the recommended treatment option for patients with early-stage hepatocellular carcinoma and concomitant cirrhosis. Waitlist candidacy can be affected by social determinants of health that vary across races and ethnicities. Our study sought to evaluate whether racial/ethnic disparities exist in access to orthotopic liver transplantation in patients with hepatocellular carcinoma.,Orthotopic liver transplantation recommended treatment option patients earlystage hepatocellular carcinoma concomitant cirrhosis Waitlist candidacy affected social determinants health vary across races ethnicities study sought evaluate whether racialethnic disparities exist access orthotopic liver transplantation patients hepatocellular carcinoma
"The spread of the coronavirus disease 2019 (COVID-19) pandemic caused a variety of psychological complications. One way to control the spread of this pandemic is compliance with health protocols and standards. Considering the limited research into the psychological effects of COVID-19 and the preventive behaviors among older adults, this study aimed to determine these variables and their relationship with associated factors.",spread coronavirus disease 2019 COVID19 pandemic caused variety psychological complications One way control spread pandemic compliance health protocols standards Considering limited research psychological effects COVID19 preventive behaviors among older adults study aimed determine variables relationship associated factors
"Propolis, a natural resin produced by bees, has been studied for its potential effects on liver enzymes and obesity indices. However, a meta-analysis is necessary to comprehensively understand the impact of propolis on obesity and liver function.",Propolis natural resin produced bees studied potential effects liver enzymes obesity indices However metaanalysis necessary comprehensively understand impact propolis obesity liver function
"High prevalence of inappropriate antibiotic use in different sectors of the community indicates a possible strong influence of social and cultural context, which may be influenced by social determinants of health and thereby affecting individuals' health-related behavior, including antibiotic use. And such health-related behavior is largely determined by individuals' health literacy.",High prevalence inappropriate antibiotic use different sectors community indicates possible strong influence social cultural context may influenced social determinants health thereby affecting individuals healthrelated behavior including antibiotic use healthrelated behavior largely determined individuals health literacy
Genetic variation in,Genetic variation
