Abstract_ID,CUI,Name,Definition,TUIs,Aliases
4,C0332173,Daily,Occurring or done each day.,['T079'],"['Every Day', 'daily', 'quaque die', 'each day', 'Daily']"
4,C0027361,Persons,"Persons as individuals (e.g., ABORTION APPLICANTS) or as members of a group (e.g., HISPANIC AMERICANS). It is not used for members of the various professions (e.g., PHYSICIANS) or occupations (e.g., LIBRARIANS) for which OCCUPATIONAL GROUPS is available.",['T098'],"['people', 'Persons', 'peoples', 'Person', 'Person (person)']"
4,C0549177,Large,"Of considerable or relatively great size, extent, or capacity.",['T081'],"['Big', 'Great', 'big', 'great', 'Larger']"
4,C1265611,Quantity,How much there is of something that you can measure; the total amount or number.,['T081'],"['amount', 'Quantity', 'Quantity finding (finding)', 'amounts', 'Amount']"
4,C0023884,Liver,"A large lobed glandular organ in the abdomen of vertebrates that is responsible for detoxification, metabolism, synthesis and storage of various substances.",['T023'],"['Liver structure', 'livers', 'Livers', 'Hepar', 'LIVER']"
4,C0008972,Clinical Research,"A work that reports on the results of a research study to evaluate interventions or exposures on biomedical or health-related outcomes. The two main types of clinical studies are interventional studies (clinical trials) and observational studies. While most clinical studies concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans.",['T062'],"['Study', 'Clinical Study', 'clinical studies', 'clinical research', 'Clinical Research']"
4,C0439849,Relationships,"A state of connectedness between people, objects, or events; to be associated or connected with something.",['T080'],"['Relationships (qualifier value)', 'Relationship', 'Association', 'relationships', 'Relationships']"
4,C0009237,Coffee,A beverage made from ground COFFEA beans (SEEDS) infused in hot water. It generally contains CAFFEINE and THEOPHYLLINE unless it is decaffeinated.,['T168'],"['Coffee', 'Coffee (substance)', 'coffee', 'Coffee, NOS', 'coffea']"
4,C0039400,Tea,"The infusion of leaves of CAMELLIA SINENSIS (formerly Thea sinensis) as a beverage, the familiar Asian tea, which contains CATECHIN (especially epigallocatechin gallate) and CAFFEINE.",['T168'],"['tea', 'Tea (substance)', 'Tea', 'Tea, NOS', 'Thea']"
4,C0009830,Consumption of goods,"The using or using up of goods and services, especially the rate at which they are used.",['T052'],"['Consumption of Goods', 'Consumption', 'consumption']"
4,C0012155,Diet,Regular course of eating and drinking adopted by a person or animal.,['T168'],"['Diet', 'Diets', 'Diet, NOS', 'regular diet?', 'diets']"
4,C1512806,Intake,"The process of taking in a substance, especially by eating or drinking, or the quantities thereof; admittance of people to a place or organization at a particular time.",['T169'],['Intake']
4,C0006644,caffeine,"A methylxanthine naturally occurring in some beverages and also used as a pharmacological agent. Caffeine's most notable pharmacological effect is as a central nervous system stimulant, increasing alertness and producing agitation. It also relaxes SMOOTH MUSCLE, stimulates CARDIAC MUSCLE, stimulates DIURESIS, and appears to be useful in the treatment of some types of headache. Several cellular actions of caffeine have been observed, but it is not entirely clear how each contributes to its pharmacological profile. Among the most important are inhibition of cyclic nucleotide PHOSPHODIESTERASES, antagonism of ADENOSINE RECEPTORS, and modulation of intracellular calcium handling.","['T109', 'T121']","['caffeine products', 'Thein', 'Coffein', 'methyltheobromine', 'CAF']"
4,C1287351,Finding of liver enzyme levels,,['T034'],"['enzymes levels liver', 'liver enzyme level', 'enzymes level liver', 'Finding of liver enzyme levels (finding)', 'enzyme level liver']"
4,C2003903,Profiling (action),An analysis (often in graphical form) representing the extent to which something exhibits various characteristics.,['T169'],['Profile']
4,C0008972,Clinical Research,"A work that reports on the results of a research study to evaluate interventions or exposures on biomedical or health-related outcomes. The two main types of clinical studies are interventional studies (clinical trials) and observational studies. While most clinical studies concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans.",['T062'],"['Study', 'Clinical Study', 'clinical studies', 'clinical research', 'Clinical Research']"
4,C0870705,control act - information,"<p>Sender sends payload to addressee as information. Addressee does not have responsibilities beyond serving addressee's own interest (i.e., read and memorize if you see fit). This is equivalent to an FYI on a memo.</p>",['T078'],['information']
4,C0679646,Participant,Someone who takes part in an activity.,['T098'],"['Participant', 'participant', 'participants']"
4,C0001779,Age,How long something has existed; elapsed time since birth.,['T032'],"['Postnatal Age', 'Age (qualifier value)', 'Has age', 'Postnatal age', 'age']"
4,C0439234,year,"A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.",['T079'],"['year', 'Year', 'Annum', 'years', 'yr']"
4,C0009247,Cohort Studies,"Studies in which subsets of a defined population are identified. These groups may or may not be exposed to factors hypothesized to influence the probability of the occurrence of a particular disease or other outcome. Cohorts are defined populations which, as a whole, are followed in an attempt to determine distinguishing subgroup characteristics.",['T081'],"['cohort studies', 'Cohort Study', 'Concurrent Study', 'Studies, Cohort', 'Concurrent Studies']"
4,C2699119,ARPP21 gene,This gene may play a role in signal transduction.,['T028'],"['cAMP-regulated phosphoprotein, 21kDa', 'ARPP21 gene', 'cAMP-REGULATED PHOSPHOPROTEIN, 21-KD', 'cAMP Regulated Phosphoprotein Gene', 'R3HDM3']"
4,C0032659,geographic population,The total number of individuals inhabiting a particular region or area.,['T081'],"['population', 'Population (social concept)', 'populations', 'Populations', 'Population']"
4,C0002783,Epidemiologic Studies,"Studies designed to examine associations, commonly, hypothesized causal relations. They are usually concerned with identifying or measuring the effects of risk factors or exposures. The common types of analytic study are CASE-CONTROL STUDIES; COHORT STUDIES; and CROSS-SECTIONAL STUDIES.",['T062'],"['epidemiological study', 'Epidemiology Research', 'epidemiologic studies', 'Epidemiologic Research', 'epidemiologic trial']"
4,C0031188,Persian language,"A Western Iranian language within the Indo-Iranian branch of the Indo-European language family primarily spoken in Iran, Afghanistan, and Tajikistan.",['T171'],"['Persian language (qualifier value)', 'Persian Language', 'Farsi language', 'Persian', 'Persian language']"
4,C0683970,demographic characteristics,,['T102'],"['personal and group characteristics', 'demographic variables']"
4,C0262926,Medical History,"A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",['T033'],"['Medical history', 'H&P.HX', 'History', 'history of', 'Personal Medical History']"
4,C0009830,Consumption of goods,"The using or using up of goods and services, especially the rate at which they are used.",['T052'],"['Consumption of Goods', 'Consumption', 'consumption']"
4,C0009237,Coffee,A beverage made from ground COFFEA beans (SEEDS) infused in hot water. It generally contains CAFFEINE and THEOPHYLLINE unless it is decaffeinated.,['T168'],"['Coffee', 'Coffee (substance)', 'coffee', 'Coffee, NOS', 'coffea']"
4,C0039400,Tea,"The infusion of leaves of CAMELLIA SINENSIS (formerly Thea sinensis) as a beverage, the familiar Asian tea, which contains CATECHIN (especially epigallocatechin gallate) and CAFFEINE.",['T168'],"['tea', 'Tea (substance)', 'Tea', 'Tea, NOS', 'Thea']"
4,C0006644,caffeine,"A methylxanthine naturally occurring in some beverages and also used as a pharmacological agent. Caffeine's most notable pharmacological effect is as a central nervous system stimulant, increasing alertness and producing agitation. It also relaxes SMOOTH MUSCLE, stimulates CARDIAC MUSCLE, stimulates DIURESIS, and appears to be useful in the treatment of some types of headache. Several cellular actions of caffeine have been observed, but it is not entirely clear how each contributes to its pharmacological profile. Among the most important are inhibition of cyclic nucleotide PHOSPHODIESTERASES, antagonism of ADENOSINE RECEPTORS, and modulation of intracellular calcium handling.","['T109', 'T121']","['caffeine products', 'Thein', 'Coffein', 'methyltheobromine', 'CAF']"
4,C1512806,Intake,"The process of taking in a substance, especially by eating or drinking, or the quantities thereof; admittance of people to a place or organization at a particular time.",['T169'],['Intake']
4,C0022885,Laboratory Procedures,"Any procedure that involves testing or manipulating a sample of blood, urine, or other body substance in a laboratory setting.",['T059'],"['GENERAL LABORATORY PROCEDURES AND SERVICES', 'laboratory testing', 'Laboratory test (procedure)', 'Laboratory test, NOS', 'laboratory procedure']"
4,C1292732,Investigates,,['T169'],"['investigated', 'Investigates (attribute)', 'investigating', 'investigate', 'investigates']"
4,C0439849,Relationships,"A state of connectedness between people, objects, or events; to be associated or connected with something.",['T080'],"['Relationships (qualifier value)', 'Relationship', 'Association', 'relationships', 'Relationships']"
4,C0009237,Coffee,A beverage made from ground COFFEA beans (SEEDS) infused in hot water. It generally contains CAFFEINE and THEOPHYLLINE unless it is decaffeinated.,['T168'],"['Coffee', 'Coffee (substance)', 'coffee', 'Coffee, NOS', 'coffea']"
4,C0039400,Tea,"The infusion of leaves of CAMELLIA SINENSIS (formerly Thea sinensis) as a beverage, the familiar Asian tea, which contains CATECHIN (especially epigallocatechin gallate) and CAFFEINE.",['T168'],"['tea', 'Tea (substance)', 'Tea', 'Tea, NOS', 'Thea']"
4,C0009830,Consumption of goods,"The using or using up of goods and services, especially the rate at which they are used.",['T052'],"['Consumption of Goods', 'Consumption', 'consumption']"
4,C0006644,caffeine,"A methylxanthine naturally occurring in some beverages and also used as a pharmacological agent. Caffeine's most notable pharmacological effect is as a central nervous system stimulant, increasing alertness and producing agitation. It also relaxes SMOOTH MUSCLE, stimulates CARDIAC MUSCLE, stimulates DIURESIS, and appears to be useful in the treatment of some types of headache. Several cellular actions of caffeine have been observed, but it is not entirely clear how each contributes to its pharmacological profile. Among the most important are inhibition of cyclic nucleotide PHOSPHODIESTERASES, antagonism of ADENOSINE RECEPTORS, and modulation of intracellular calcium handling.","['T109', 'T121']","['caffeine products', 'Thein', 'Coffein', 'methyltheobromine', 'CAF']"
4,C1512806,Intake,"The process of taking in a substance, especially by eating or drinking, or the quantities thereof; admittance of people to a place or organization at a particular time.",['T169'],['Intake']
4,C1287351,Finding of liver enzyme levels,,['T034'],"['enzymes levels liver', 'liver enzyme level', 'enzymes level liver', 'Finding of liver enzyme levels (finding)', 'enzyme level liver']"
4,C2003903,Profiling (action),An analysis (often in graphical form) representing the extent to which something exhibits various characteristics.,['T169'],['Profile']
4,C0679646,Participant,Someone who takes part in an activity.,['T098'],"['Participant', 'participant', 'participants']"
4,C0043210,Woman,"Human females as cultural, psychological, sociological, political, and economic entities.",['T098'],"['Human Females', 'Girls', 'woman', 'adult female?', 'Woman']"
4,C0086582,Males,"A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.",['T032'],"['Male individual', 'Male structure', 'Male', 'Sex Male', 'Male structure (body structure)']"
4,C3826770,Older people,,['T098'],[]
4,C0025266,Male population group,"Human males as cultural, psychological, sociological, political, and economic entities.",['T098'],"['Men', 'men', 'Man', 'Man (person)', 'Human, Male']"
4,C0009830,Consumption of goods,"The using or using up of goods and services, especially the rate at which they are used.",['T052'],"['Consumption of Goods', 'Consumption', 'consumption']"
4,C0205217,Increased,,['T081'],"['Increases', 'increased', 'Increased by', 'augmented', 'augment']"
4,C0439849,Relationships,"A state of connectedness between people, objects, or events; to be associated or connected with something.",['T080'],"['Relationships (qualifier value)', 'Relationship', 'Association', 'relationships', 'Relationships']"
4,C1824670,CD55 gene,This gene plays a role in the regulation of the complement cascade.,['T028'],"['CD55 ANTIGEN', 'CD55', 'CR', 'CD55 Gene', 'DECAY-ACCELERATING FACTOR FOR COMPLEMENT']"
4,C0700085,Curie,"A unit of radioactivity in the CGS system, defined as 3.7 E10 atomic disintegrations or other nuclear transformations per second. One curie is equal to 37 gigabecquerels.",['T081'],"['Ci', 'Curie', 'ci', 'curie (Ci)', 'curie']"
4,C0205217,Increased,,['T081'],"['Increases', 'increased', 'Increased by', 'augmented', 'augment']"
4,C0205161,Abnormal,"Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm.",['T033'],"['abnormal', 'Abnormal (qualifier value)', 'Abnormal']"
4,C0002059,Alkaline Phosphatase,An enzyme that catalyzes the conversion of an orthophosphoric monoester and water to an alcohol and orthophosphate. EC 3.1.3.1.,"['T116', 'T126']","['Alkaline phosphatase', 'ALKALINE PHOSPHATASE', 'Orthophosphoric-monoester phosphohydrolase (alkaline optimum)', 'AP - Alkaline phosphatase', 'glycerophosphatase']"
4,C0002059,Alkaline Phosphatase,An enzyme that catalyzes the conversion of an orthophosphoric monoester and water to an alcohol and orthophosphate. EC 3.1.3.1.,"['T116', 'T126']","['Alkaline phosphatase', 'ALKALINE PHOSPHATASE', 'Orthophosphoric-monoester phosphohydrolase (alkaline optimum)', 'AP - Alkaline phosphatase', 'glycerophosphatase']"
4,C0700085,Curie,"A unit of radioactivity in the CGS system, defined as 3.7 E10 atomic disintegrations or other nuclear transformations per second. One curie is equal to 37 gigabecquerels.",['T081'],"['Ci', 'Curie', 'ci', 'curie (Ci)', 'curie']"
4,C0205216,Decreased,A subjective response indicating that something is or has decreased.,['T081'],"['Decreased by', 'diminished', 'Decreased', 'diminishing', 'Decreased (qualifier value)']"
4,C0205161,Abnormal,"Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm.",['T033'],"['abnormal', 'Abnormal (qualifier value)', 'Abnormal']"
4,C0242192,SGOT - Glutamate oxaloacetate transaminase,A family of pyridoxal phosphate-dependent enzymes involved in amino acid metabolism and in the urea and tricarboxylic acid cycles. Aspartate aminotransferase specifically and reversibly catalyzes the transfer of an amino group from L-aspartate to alpha-ketoglutarate forming oxaloacetate and L-glutamate.,"['T116', 'T126']","['AAT', 'ASAT', 'GOT', 'Serum Glutamic Oxaloacetic Transaminase', 'serum glutamate oxaloacetate transaminase (SGOT)']"
4,C0700085,Curie,"A unit of radioactivity in the CGS system, defined as 3.7 E10 atomic disintegrations or other nuclear transformations per second. One curie is equal to 37 gigabecquerels.",['T081'],"['Ci', 'Curie', 'ci', 'curie (Ci)', 'curie']"
4,C0205250,High,An elevated level or position or degree; greater than normal in degree or intensity or amount.,['T080'],"['High', 'elevate', 'Highly', 'high', 'elevated']"
4,C1512806,Intake,"The process of taking in a substance, especially by eating or drinking, or the quantities thereof; admittance of people to a place or organization at a particular time.",['T169'],['Intake']
